title,detail,cover_image,no_copies,in_stock,price,category_id,author_id,publisher_id
Eaten Alive,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",https://robohash.org/placeatipsuma.png?size=100x100&set=set1,84,84,18.56,16,8,13
"Muppet Christmas: Letters to Santa, A","Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",https://robohash.org/estistedolorem.png?size=100x100&set=set1,66,66,58.75,8,62,6
For Love of the Game,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.",https://robohash.org/omnismodisuscipit.png?size=100x100&set=set1,16,16,58.01,16,53,51
Dona Flor and Her Two Husbands (Dona Flor e Seus Dois Maridos),"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",https://robohash.org/quivelitnulla.png?size=100x100&set=set1,19,19,45.1,6,92,60
Godzilla vs. King Ghidorah (Gojira vs. Kingu Gidorâ),"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",https://robohash.org/repellatetautem.png?size=100x100&set=set1,56,56,27.0,10,18,87
Mr. Denning Drives North,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,https://robohash.org/sitconsecteturreiciendis.png?size=100x100&set=set1,51,51,58.44,12,63,68
Vivien Leigh: Scarlett and Beyond,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",https://robohash.org/inventorealiasrecusandae.png?size=100x100&set=set1,48,48,53.24,13,33,20
HOUBA! On the Trail of the Marsupilami (Sur la piste du Marsupilami),"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",https://robohash.org/quiquinostrum.png?size=100x100&set=set1,22,22,2.55,16,21,11
"Year of the Wolf, The (Suden vuosi)","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",https://robohash.org/quiconsequuntursaepe.png?size=100x100&set=set1,28,28,69.54,10,64,62
"Boondock Saints II: All Saints Day, The","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",https://robohash.org/voluptatemdebitisdolor.png?size=100x100&set=set1,69,69,30.07,14,82,97
"Round Up, The (La Rafle)","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",https://robohash.org/molestiaeconsequaturassumenda.png?size=100x100&set=set1,55,55,62.17,12,16,10
Waking Sleeping Beauty,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.",https://robohash.org/quiquiipsam.png?size=100x100&set=set1,27,27,16.96,15,10,18
Kiss Me (Kyss Mig),Sed sagittis.,https://robohash.org/eaqueprovidentquisquam.png?size=100x100&set=set1,92,92,33.38,10,45,55
Seven Swords (Chat gim),"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",https://robohash.org/autvoluptasexercitationem.png?size=100x100&set=set1,50,50,49.08,6,53,93
Cheers for Miss Bishop,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",https://robohash.org/praesentiumtemporeiusto.png?size=100x100&set=set1,27,27,68.04,5,49,63
Zerophilia,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",https://robohash.org/utvelsuscipit.png?size=100x100&set=set1,67,67,66.92,6,4,64
Block Party (a.k.a. Dave Chappelle's Block Party),"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",https://robohash.org/etnemovoluptates.png?size=100x100&set=set1,16,16,66.51,7,6,64
White Dog,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",https://robohash.org/minimaducimuscommodi.png?size=100x100&set=set1,47,47,13.03,11,26,19
Cactus Flower,Aenean auctor gravida sem.,https://robohash.org/corporisetpossimus.png?size=100x100&set=set1,88,88,44.68,3,58,3
Evil Dead II (Dead by Dawn),"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",https://robohash.org/officiisdelectusconsequatur.png?size=100x100&set=set1,28,28,61.83,13,22,83
Who the Hell Is Juliette? (¿Quién diablos es Juliette?),"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://robohash.org/etdelectusid.png?size=100x100&set=set1,54,54,18.09,12,43,39
Bad Teacher,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,https://robohash.org/sitodioquia.png?size=100x100&set=set1,4,4,1.5,7,78,70
Saints and Soldiers: The Void,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",https://robohash.org/etnampariatur.png?size=100x100&set=set1,68,68,33.97,3,86,7
"First Case, Second Case (Ghazieh-e Shekl-e Aval, Ghazieh-e Shekl-e Dou Wom)",Sed ante. Vivamus tortor.,https://robohash.org/odioetminus.png?size=100x100&set=set1,69,69,56.06,17,52,14
Åsa-Nisse - Wälkom to Knohult,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",https://robohash.org/fugiatquilaboriosam.png?size=100x100&set=set1,39,39,46.85,7,74,31
"Strange Color Of Your Body's Tears, The (L'étrange couleur des larmes de ton corps)",Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,https://robohash.org/laboreettotam.png?size=100x100&set=set1,62,62,14.68,13,49,77
Brass Target,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,https://robohash.org/quibusdamexcepturisapiente.png?size=100x100&set=set1,43,43,52.13,17,85,9
"Black God, White Devil (Deus e o Diabo na Terra do Sol)","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",https://robohash.org/quiaautiste.png?size=100x100&set=set1,93,93,14.76,12,96,62
"Big Bang Theory, The (2007-)",Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,https://robohash.org/veniamtemporaporro.png?size=100x100&set=set1,7,7,16.77,10,5,1
Pandora and the Flying Dutchman,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",https://robohash.org/autvoluptatesenim.png?size=100x100&set=set1,46,46,2.76,1,50,2
Ninja Assassin,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",https://robohash.org/quinisiaccusantium.png?size=100x100&set=set1,86,86,49.68,2,96,65
Luna Papa,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,https://robohash.org/quisexercitationemtempora.png?size=100x100&set=set1,6,6,53.21,14,14,44
Three Crowns of the Sailor (Les trois couronnes du matelot),"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",https://robohash.org/idfugavoluptatibus.png?size=100x100&set=set1,81,81,24.99,1,83,7
'Salem's Lot,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://robohash.org/utexplicaboet.png?size=100x100&set=set1,67,67,1.18,7,47,98
"Misérables, Les","In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",https://robohash.org/voluptatemillumeum.png?size=100x100&set=set1,12,12,58.25,6,81,49
My Father's Glory (La gloire de mon père),"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",https://robohash.org/reiciendisdolorest.png?size=100x100&set=set1,62,62,31.97,16,61,96
Fade to Black,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",https://robohash.org/voluptasmagnamut.png?size=100x100&set=set1,77,77,33.02,8,26,45
"Secret Garden, The","Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",https://robohash.org/etexinventore.png?size=100x100&set=set1,53,53,25.53,3,42,3
Outside Satan (Hors Satan),"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",https://robohash.org/natusconsecteturconsequatur.png?size=100x100&set=set1,43,43,53.69,17,69,86
Undead,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",https://robohash.org/quivelitfacilis.png?size=100x100&set=set1,51,51,52.27,10,34,79
Shrooms,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",https://robohash.org/debitissedsint.png?size=100x100&set=set1,3,3,51.74,17,63,9
Panic Button,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",https://robohash.org/doloremqueexpeditanobis.png?size=100x100&set=set1,95,95,9.75,14,9,53
"Objective, The",Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,https://robohash.org/perferendismolestiasnon.png?size=100x100&set=set1,85,85,27.74,11,13,29
"Last of Sheila, The","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",https://robohash.org/quisaccusamusvitae.png?size=100x100&set=set1,14,14,9.02,10,27,39
Live Free or Die,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,https://robohash.org/animiutculpa.png?size=100x100&set=set1,25,25,27.63,10,45,56
The Infinite Man,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",https://robohash.org/oditvelitvoluptatem.png?size=100x100&set=set1,6,6,20.02,12,67,53
Pandora's Box (Pandora'nin kutusu),Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,https://robohash.org/modivitaeex.png?size=100x100&set=set1,3,3,41.98,10,62,44
Tables Turned on the Gardener,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",https://robohash.org/repellatiuresimilique.png?size=100x100&set=set1,89,89,20.07,8,37,4
"Langoliers, The","Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",https://robohash.org/illofugitquia.png?size=100x100&set=set1,90,90,18.61,7,99,87
Jerry Maguire,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",https://robohash.org/reprehenderitnatusnon.png?size=100x100&set=set1,20,20,4.59,5,37,4
Watership Down,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",https://robohash.org/eamagniiusto.png?size=100x100&set=set1,39,39,48.04,15,85,32
Apollo 18,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",https://robohash.org/veroconsequunturat.png?size=100x100&set=set1,1,1,49.5,9,4,49
Superman,Duis bibendum. Morbi non quam nec dui luctus rutrum.,https://robohash.org/reprehenderitlaborumipsum.png?size=100x100&set=set1,28,28,55.04,4,29,60
